Net Status Report
Filename     : D:\daihoccantho\Co c?u ch?p hành co di?n t?\PCB_Project\PCB1.PcbDoc
Date         : 1/13/2026
Time         : 4:02:21 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    +12, Signal Layers Only, 0mm
    +3V3, Signal Layers Only, 0mm
    +5, Signal Layers Only, 0mm
    A+, Signal Layers Only, 0mm
    B-, Signal Layers Only, 0mm
    BZ, Signal Layers Only, 0mm
    EA, Signal Layers Only, 0mm
    EB, Signal Layers Only, 0mm
    EM STOP, Signal Layers Only, 0mm
    ENA, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    IN 1, Signal Layers Only, 0mm
    IN 2, Signal Layers Only, 0mm
    LED BLUE, Signal Layers Only, 0mm
    LED RED, Signal Layers Only, 0mm
    LED YELOW, Signal Layers Only, 0mm
    NetD1_2, Signal Layers Only, 0mm
    NetF1_1, Signal Layers Only, 0mm
    NetJACK DC1_1, Signal Layers Only, 0mm
    NetL2_1, Signal Layers Only, 0mm
    NetL2_2, Signal Layers Only, 0mm
    NetL3_1, Signal Layers Only, 0mm
    NetL3_2, Signal Layers Only, 0mm
    NetL4_1, Signal Layers Only, 0mm
    NetL4_2, Signal Layers Only, 0mm
    NetLS1_M, Signal Layers Only, 0mm
    NetLS1_P, Signal Layers Only, 0mm
    NetQ1_3, Signal Layers Only, 0mm
    NetQ2_3, Signal Layers Only, 0mm
    NetQ3_3, Signal Layers Only, 0mm
    NetQ4_3, Signal Layers Only, 0mm
    OUT 1, Signal Layers Only, 0mm
    OUT 2, Signal Layers Only, 0mm
    RX, Signal Layers Only, 0mm
    TX, Signal Layers Only, 0mm
count : 35
